locus_tag	ftype	length_bp	gene	EC_number	COG	product
FAGEIGCL_00001	CDS	645	agaA_1	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
FAGEIGCL_00002	CDS	888				hypothetical protein
FAGEIGCL_00003	CDS	723	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
FAGEIGCL_00004	CDS	672	metI_1		COG2011	D-methionine transport system permease protein MetI
FAGEIGCL_00005	CDS	345	yodB		COG1733	HTH-type transcriptional regulator YodB
FAGEIGCL_00006	CDS	321	addA_1	3.6.4.12		ATP-dependent helicase/nuclease subunit A
FAGEIGCL_00007	CDS	1581	addA_2	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
FAGEIGCL_00008	CDS	303	yidD			Putative membrane protein insertion efficiency factor
FAGEIGCL_00009	CDS	2055		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
FAGEIGCL_00010	CDS	609	rplY_1			50S ribosomal protein L25
FAGEIGCL_00011	CDS	324				hypothetical protein
FAGEIGCL_00012	CDS	2847	xly	4.2.2.12		Xanthan lyase
FAGEIGCL_00013	CDS	174				hypothetical protein
FAGEIGCL_00014	CDS	522	infC_1			Translation initiation factor IF-3
FAGEIGCL_00015	CDS	1071				IS200/IS605 family transposase ISEfa4
FAGEIGCL_00016	CDS	276	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
FAGEIGCL_00017	CDS	336	gdnC		COG2076	putative guanidinium efflux system subunit GdnC
FAGEIGCL_00018	CDS	312	gdnD		COG2076	putative guanidinium efflux system subunit GdnD
FAGEIGCL_00019	CDS	1047		3.2.1.14	COG3469	Chitinase
FAGEIGCL_00020	CDS	525		1.14.99.53	COG3397	Lytic chitin monooxygenase
FAGEIGCL_00021	CDS	429				hypothetical protein
FAGEIGCL_00022	CDS	744				hypothetical protein
FAGEIGCL_00023	CDS	396				hypothetical protein
FAGEIGCL_00024	CDS	3477				hypothetical protein
FAGEIGCL_00025	CDS	141				hypothetical protein
FAGEIGCL_00026	CDS	1461				hypothetical protein
FAGEIGCL_00027	CDS	225				hypothetical protein
FAGEIGCL_00028	CDS	675				hypothetical protein
FAGEIGCL_00029	CDS	339				hypothetical protein
FAGEIGCL_00030	CDS	864	potB_1		COG1176	Spermidine/putrescine transport system permease protein PotB
FAGEIGCL_00031	CDS	1137	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
FAGEIGCL_00032	CDS	1227	pepT_1	3.4.11.4	COG2195	Peptidase T
FAGEIGCL_00033	CDS	1122	roxA	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
FAGEIGCL_00034	CDS	1461	phoQ	2.7.13.3	COG0642	Sensor protein PhoQ
FAGEIGCL_00035	CDS	672	phoP_1			Transcriptional regulatory protein PhoP
FAGEIGCL_00036	CDS	1062	purB_1	4.3.2.2	COG0015	Adenylosuccinate lyase
FAGEIGCL_00037	CDS	384				hypothetical protein
FAGEIGCL_00038	CDS	288				hypothetical protein
FAGEIGCL_00039	CDS	1482				hypothetical protein
FAGEIGCL_00040	CDS	615	gmk_1	2.7.4.8	COG0194	Guanylate kinase
FAGEIGCL_00041	CDS	693	rnc_1	3.1.26.3	COG0571	Ribonuclease 3
FAGEIGCL_00042	CDS	426	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
FAGEIGCL_00043	CDS	339	yheH_1	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
FAGEIGCL_00044	CDS	456				hypothetical protein
FAGEIGCL_00045	CDS	3654	rpoC_1	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
FAGEIGCL_00046	CDS	3615	rpoB_1	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
FAGEIGCL_00047	CDS	792	folP_1	2.5.1.15		Dihydropteroate synthase
FAGEIGCL_00048	CDS	594		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
FAGEIGCL_00049	CDS	561	folE_1	3.5.4.16	COG0302	GTP cyclohydrolase 1
FAGEIGCL_00050	CDS	486	folK_1	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
FAGEIGCL_00051	CDS	363	folB_1	4.1.2.25	COG1539	Dihydroneopterin aldolase
FAGEIGCL_00052	CDS	447				hypothetical protein
FAGEIGCL_00053	CDS	714	treR_1		COG2188	HTH-type transcriptional regulator TreR
FAGEIGCL_00054	CDS	1974				hypothetical protein
FAGEIGCL_00055	CDS	1680	treA_1	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
FAGEIGCL_00056	CDS	333				hypothetical protein
FAGEIGCL_00057	CDS	981	iolU_1	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
FAGEIGCL_00058	CDS	1896	pepO	3.4.24.-	COG3590	Neutral endopeptidase
FAGEIGCL_00059	CDS	954	mccF			Microcin C7 self-immunity protein MccF
FAGEIGCL_00060	tRNA	71				tRNA-Cys(gca)
FAGEIGCL_00061	CDS	768	rpsB_1			30S ribosomal protein S2
FAGEIGCL_00062	CDS	1038	tsf_1		COG0264	Elongation factor Ts
FAGEIGCL_00063	CDS	465				hypothetical protein
FAGEIGCL_00064	CDS	462	ctsR_1		COG4463	Transcriptional regulator CtsR
FAGEIGCL_00065	CDS	2442	clpC_1			ATP-dependent Clp protease ATP-binding subunit ClpC
FAGEIGCL_00066	CDS	978	dusB_1	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
FAGEIGCL_00067	CDS	867	hslO_1			33 kDa chaperonin
FAGEIGCL_00068	CDS	1278				hypothetical protein
FAGEIGCL_00069	CDS	828				hypothetical protein
FAGEIGCL_00070	CDS	2253	gshAB_1			Glutathione biosynthesis bifunctional protein GshAB
FAGEIGCL_00071	CDS	1293	purA_1	6.3.4.4	COG0104	Adenylosuccinate synthetase
FAGEIGCL_00072	CDS	1461	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
FAGEIGCL_00073	CDS	282	ulaB_1	2.7.1.194		Ascorbate-specific PTS system EIIB component
FAGEIGCL_00074	CDS	486	ulaC_1		COG1762	Ascorbate-specific PTS system EIIA component
FAGEIGCL_00075	CDS	666	ulaD_1	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
FAGEIGCL_00076	CDS	864	ulaE_1	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
FAGEIGCL_00077	CDS	711	ulaF_1	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
FAGEIGCL_00078	CDS	1659				hypothetical protein
FAGEIGCL_00079	CDS	2076				hypothetical protein
FAGEIGCL_00080	CDS	309				hypothetical protein
FAGEIGCL_00081	CDS	1284	ulaA_2		COG3037	Ascorbate-specific PTS system EIIC component
FAGEIGCL_00082	CDS	387				hypothetical protein
FAGEIGCL_00083	CDS	858	gatY_1	4.1.2.40		D-tagatose-1,6-bisphosphate aldolase subunit GatY
FAGEIGCL_00084	CDS	603				hypothetical protein
FAGEIGCL_00085	CDS	1092	ulaG_1	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
FAGEIGCL_00086	CDS	648	tal_1	2.2.1.2	COG0176	Transaldolase
FAGEIGCL_00087	CDS	1971	tkt_1	2.2.1.1		Transketolase
FAGEIGCL_00088	CDS	945				hypothetical protein
FAGEIGCL_00089	CDS	2637	polA_1	2.7.7.7		DNA polymerase I
FAGEIGCL_00090	CDS	423	yccU_1		COG1832	putative protein YccU
FAGEIGCL_00091	CDS	555				hypothetical protein
FAGEIGCL_00092	CDS	537	padC	4.1.1.102	COG3479	Phenolic acid decarboxylase PadC
FAGEIGCL_00093	CDS	498	perR		COG0735	Peroxide-responsive repressor PerR
FAGEIGCL_00094	CDS	759				hypothetical protein
FAGEIGCL_00095	CDS	1143	tgt_1	2.4.2.29		Queuine tRNA-ribosyltransferase
FAGEIGCL_00096	CDS	303				hypothetical protein
FAGEIGCL_00097	CDS	531	bioY		COG1268	Biotin transporter BioY
FAGEIGCL_00098	CDS	777			COG1234	putative protein
FAGEIGCL_00099	CDS	507	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
FAGEIGCL_00100	CDS	1350	pgi_1	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
FAGEIGCL_00101	CDS	375	xerC_1			Tyrosine recombinase XerC
FAGEIGCL_00102	CDS	393	rpsI_1		COG0103	30S ribosomal protein S9
FAGEIGCL_00103	CDS	444	rplM_1			50S ribosomal protein L13
FAGEIGCL_00104	CDS	468	dps_1	1.16.-.-	COG0783	DNA protection during starvation protein
FAGEIGCL_00105	CDS	720				hypothetical protein
FAGEIGCL_00106	CDS	1521	xylB_1	2.7.1.17	COG1070	Xylulose kinase
FAGEIGCL_00107	CDS	597	recR_1		COG0353	Recombination protein RecR
FAGEIGCL_00108	CDS	2127	penA_1		COG0768	Penicillin-binding protein 2B
FAGEIGCL_00109	CDS	555	niaX_1			Niacin transporter NiaX
FAGEIGCL_00110	CDS	522	niaR_1		COG1827	putative transcription repressor NiaR
FAGEIGCL_00111	CDS	525				hypothetical protein
FAGEIGCL_00112	CDS	960	recG_1	3.6.4.12		ATP-dependent DNA helicase RecG
FAGEIGCL_00113	CDS	1038				hypothetical protein
FAGEIGCL_00114	CDS	786				hypothetical protein
FAGEIGCL_00115	CDS	627				hypothetical protein
FAGEIGCL_00116	CDS	576	thiT_1			Thiamine transporter ThiT
FAGEIGCL_00117	CDS	1137				hypothetical protein
FAGEIGCL_00118	CDS	363				hypothetical protein
FAGEIGCL_00119	CDS	768				hypothetical protein
FAGEIGCL_00120	CDS	552	tag_1	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
FAGEIGCL_00121	CDS	1656	oppA_1		COG4166	Oligopeptide-binding protein OppA
FAGEIGCL_00122	CDS	297			COG1132	putative ABC transporter ATP-binding protein
FAGEIGCL_00123	CDS	1590	mbtB	6.3.2.-	COG1020	Phenyloxazoline synthase MbtB
FAGEIGCL_00124	CDS	9492	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
FAGEIGCL_00125	CDS	1101				hypothetical protein
FAGEIGCL_00126	CDS	804	pikAV	3.1.2.-		Thioesterase PikA5
FAGEIGCL_00127	CDS	1578	dhbE	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
FAGEIGCL_00128	CDS	2022	fyuA		COG1629	Pesticin receptor
FAGEIGCL_00129	CDS	750				hypothetical protein
FAGEIGCL_00130	CDS	1470				hypothetical protein
FAGEIGCL_00131	CDS	477				hypothetical protein
FAGEIGCL_00132	CDS	1053				hypothetical protein
FAGEIGCL_00133	CDS	1317	abaF			Fosfomycin resistance protein AbaF
FAGEIGCL_00134	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
FAGEIGCL_00135	CDS	717	yeeN_1		COG0217	putative transcriptional regulatory protein YeeN
FAGEIGCL_00136	tRNA	76				tRNA-Asn(gtt)
FAGEIGCL_00137	CDS	1641	yeeO_1		COG0534	putative FMN/FAD exporter YeeO
FAGEIGCL_00138	tRNA	76				tRNA-Asn(gtt)
FAGEIGCL_00139	CDS	951	cbl			HTH-type transcriptional regulator cbl
FAGEIGCL_00140	CDS	918	gltC_1			HTH-type transcriptional regulator GltC
FAGEIGCL_00141	tRNA	76				tRNA-Asn(gtt)
FAGEIGCL_00142	CDS	561	hxlB_1	5.3.1.27	COG0794	3-hexulose-6-phosphate isomerase
FAGEIGCL_00143	CDS	753	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
FAGEIGCL_00144	CDS	645	rpe_1	5.1.3.1		Ribulose-phosphate 3-epimerase
FAGEIGCL_00145	CDS	1254	gatC_1		COG3775	PTS system galactitol-specific EIIC component
FAGEIGCL_00146	CDS	294	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
FAGEIGCL_00147	CDS	444	gatA_1		COG1762	PTS system galactitol-specific EIIA component
FAGEIGCL_00148	CDS	756	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
FAGEIGCL_00149	CDS	537	lacB_1	5.3.1.26		Galactose-6-phosphate isomerase subunit LacB
FAGEIGCL_00150	CDS	1371	gatC_2		COG3775	PTS system galactitol-specific EIIC component
FAGEIGCL_00151	CDS	285				hypothetical protein
FAGEIGCL_00152	CDS	459	gatA_2		COG1762	PTS system galactitol-specific EIIA component
FAGEIGCL_00153	CDS	966	sorC_1		COG2390	Sorbitol operon regulator
FAGEIGCL_00154	CDS	927	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
FAGEIGCL_00155	CDS	1080	cobT	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
FAGEIGCL_00156	CDS	744	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
FAGEIGCL_00157	CDS	543	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
FAGEIGCL_00158	CDS	438				hypothetical protein
FAGEIGCL_00159	CDS	915	rhaR_1			HTH-type transcriptional activator RhaR
FAGEIGCL_00160	CDS	810	pduF		COG0580	Propanediol diffusion facilitator
FAGEIGCL_00161	CDS	285	pduA_1		COG4577	Propanediol utilization protein PduA
FAGEIGCL_00162	CDS	813	pduB		COG4816	Propanediol utilization protein PduB
FAGEIGCL_00163	CDS	1665	pduC	4.2.1.28	COG4909	Propanediol dehydratase large subunit
FAGEIGCL_00164	CDS	669	pduD	4.2.1.28		Propanediol dehydratase medium subunit
FAGEIGCL_00165	CDS	519	pduE	4.2.1.28	COG4910	Propanediol dehydratase small subunit
FAGEIGCL_00166	CDS	1833	ddrA			Diol dehydratase-reactivating factor alpha subunit
FAGEIGCL_00167	CDS	351				hypothetical protein
FAGEIGCL_00168	CDS	276	pduA_2		COG4577	Propanediol utilization protein PduA
FAGEIGCL_00169	CDS	423				hypothetical protein
FAGEIGCL_00170	CDS	633	pduL	2.3.1.222	COG4869	Phosphate propanoyltransferase
FAGEIGCL_00171	CDS	492				hypothetical protein
FAGEIGCL_00172	CDS	276	ccmL			Carbon dioxide concentrating mechanism protein CcmL
FAGEIGCL_00173	CDS	1008				hypothetical protein
FAGEIGCL_00174	CDS	1386	astD_1	1.2.1.71		N-succinylglutamate 5-semialdehyde dehydrogenase
FAGEIGCL_00175	CDS	1113	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
FAGEIGCL_00176	CDS	1344	rsxC_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
FAGEIGCL_00177	CDS	555				hypothetical protein
FAGEIGCL_00178	CDS	351	pduU_1		COG4810	Propanediol utilization protein PduU
FAGEIGCL_00179	CDS	444	pduV_1		COG4917	Propanediol utilization protein PduV
FAGEIGCL_00180	CDS	330				hypothetical protein
FAGEIGCL_00181	CDS	1059	yeeA		COG1289	Inner membrane protein YeeA
FAGEIGCL_00182	CDS	474	sbmC_1		COG3449	DNA gyrase inhibitor
FAGEIGCL_00183	CDS	1167	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
FAGEIGCL_00184	CDS	1428	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
FAGEIGCL_00185	CDS	1359	plaP		COG0531	Low-affinity putrescine importer PlaP
FAGEIGCL_00186	CDS	951	yhaJ_1			HTH-type transcriptional regulator YhaJ
FAGEIGCL_00187	CDS	825	yeeZ		COG0451	Protein YeeZ
FAGEIGCL_00188	CDS	255	yoeB_1	3.1.-.-	COG4115	Toxin YoeB
FAGEIGCL_00189	CDS	252	yefM		COG2161	Antitoxin YefM
FAGEIGCL_00190	CDS	900	hisG_1	2.4.2.17	COG0040	ATP phosphoribosyltransferase
FAGEIGCL_00191	CDS	1305	hisD_1	1.1.1.23	COG0141	Histidinol dehydrogenase
FAGEIGCL_00192	CDS	1071	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
FAGEIGCL_00193	CDS	1068	hisB_1		COG0131	Histidine biosynthesis bifunctional protein HisB
FAGEIGCL_00194	CDS	591	hisH_1	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
FAGEIGCL_00195	CDS	738	hisA_1	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
FAGEIGCL_00196	CDS	777	hisF_1	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
FAGEIGCL_00197	CDS	612	hisI_1	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
FAGEIGCL_00198	CDS	978	wzzB		COG3765	Chain length determinant protein
FAGEIGCL_00199	CDS	1167	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
FAGEIGCL_00200	CDS	1407	gnd_1	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
FAGEIGCL_00201	CDS	1017	lnpD_1	5.1.3.2		UDP-glucose 4-epimerase
FAGEIGCL_00202	CDS	1218				hypothetical protein
FAGEIGCL_00203	CDS	1161	bshA_1	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
FAGEIGCL_00204	CDS	585				hypothetical protein
FAGEIGCL_00205	CDS	1236				hypothetical protein
FAGEIGCL_00206	CDS	870				hypothetical protein
FAGEIGCL_00207	CDS	789				hypothetical protein
FAGEIGCL_00208	CDS	1092	wbnH	2.4.1.306		O-antigen biosynthesis glycosyltransferase WbnH
FAGEIGCL_00209	CDS	894	galF	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
FAGEIGCL_00210	CDS	996	gnu	5.1.3.26	COG0451	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase
FAGEIGCL_00211	CDS	1395				hypothetical protein
FAGEIGCL_00212	CDS	1221	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
FAGEIGCL_00213	CDS	1281				hypothetical protein
FAGEIGCL_00214	CDS	765	dpaL	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
FAGEIGCL_00215	CDS	954				hypothetical protein
FAGEIGCL_00216	CDS	279			COG1132	putative ABC transporter ATP-binding protein
FAGEIGCL_00217	CDS	396				hypothetical protein
FAGEIGCL_00218	CDS	1179				hypothetical protein
FAGEIGCL_00219	CDS	711	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
FAGEIGCL_00220	CDS	1230	macB_1	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
FAGEIGCL_00221	CDS	156				hypothetical protein
FAGEIGCL_00222	CDS	1122				hypothetical protein
FAGEIGCL_00223	CDS	504				hypothetical protein
FAGEIGCL_00224	CDS	105				hypothetical protein
FAGEIGCL_00225	CDS	687	ywpJ_1	3.1.3.-	COG0561	Phosphatase YwpJ
FAGEIGCL_00226	CDS	525				hypothetical protein
FAGEIGCL_00227	CDS	564				hypothetical protein
FAGEIGCL_00228	CDS	267	yocH		COG1388	Cell wall-binding protein YocH
FAGEIGCL_00229	CDS	588	prfA_1		COG0216	Peptide chain release factor 1
FAGEIGCL_00230	CDS	285				hypothetical protein
FAGEIGCL_00231	CDS	558				hypothetical protein
FAGEIGCL_00232	CDS	612				hypothetical protein
FAGEIGCL_00233	CDS	888	yvcJ_1		COG1660	Nucleotide-binding protein YvcJ
FAGEIGCL_00234	CDS	213				hypothetical protein
FAGEIGCL_00235	CDS	1131	licC_1		COG1455	Lichenan permease IIC component
FAGEIGCL_00236	CDS	1065				hypothetical protein
FAGEIGCL_00237	CDS	201				hypothetical protein
FAGEIGCL_00238	CDS	885				hypothetical protein
FAGEIGCL_00239	CDS	474				hypothetical protein
FAGEIGCL_00240	CDS	237				hypothetical protein
FAGEIGCL_00241	CDS	1089	hcxA_1	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
FAGEIGCL_00242	CDS	654	potD_1		COG0687	Spermidine/putrescine-binding periplasmic protein
FAGEIGCL_00243	CDS	102				hypothetical protein
FAGEIGCL_00244	CDS	570	ykuT_1		COG0668	putative MscS family protein YkuT
FAGEIGCL_00245	CDS	537		3.5.1.47	COG1473	N-acetyldiaminopimelate deacetylase
FAGEIGCL_00246	CDS	234				hypothetical protein
FAGEIGCL_00247	tRNA	74				tRNA-Arg(ccg)
FAGEIGCL_00248	CDS	201	cspL		COG1278	Cold shock protein 2
FAGEIGCL_00249	CDS	315	pyrR_1			Bifunctional protein pyrR
FAGEIGCL_00250	CDS	231	map_1	3.4.11.18	COG0024	Methionine aminopeptidase 1
FAGEIGCL_00251	CDS	222	purK_1	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
FAGEIGCL_00252	CDS	1017	bbmA	3.2.1.-	COG0366	Intracellular maltogenic amylase
FAGEIGCL_00253	CDS	435	ypwA	3.4.17.19	COG2317	Carboxypeptidase 1
