locus_tag	ftype	length_bp	gene	EC_number	COG	product
HANCKOBL_00001	CDS	1692				hypothetical protein
HANCKOBL_00002	CDS	603				hypothetical protein
HANCKOBL_00003	CDS	822				hypothetical protein
HANCKOBL_00004	CDS	399				hypothetical protein
HANCKOBL_00005	CDS	1146				ISAs1 family transposase ISEc1
HANCKOBL_00006	CDS	987				hypothetical protein
HANCKOBL_00007	CDS	1977	yjcS_1	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
HANCKOBL_00008	CDS	228	pptA	5.3.2.-	COG1942	Tautomerase PptA
HANCKOBL_00009	CDS	570				hypothetical protein
HANCKOBL_00010	CDS	846	nhoA	2.3.1.5	COG2162	Arylamine N-acetyltransferase
HANCKOBL_00011	CDS	894	yddE	5.1.-.-	COG0384	putative isomerase YddE
HANCKOBL_00012	CDS	681	narV	1.7.5.1	COG2181	Respiratory nitrate reductase 2 gamma chain
HANCKOBL_00013	CDS	696	narW		COG2180	putative nitrate reductase molybdenum cofactor assembly chaperone NarW
HANCKOBL_00014	CDS	1545	narY	1.7.5.1	COG1140	Respiratory nitrate reductase 2 beta chain
HANCKOBL_00015	CDS	3741	narZ	1.7.5.1	COG5013	Respiratory nitrate reductase 2 alpha chain
HANCKOBL_00016	CDS	1389	narU		COG2223	Nitrate/nitrite transporter NarU
HANCKOBL_00017	CDS	825	yddG		COG0697	Aromatic amino acid exporter YddG
HANCKOBL_00018	CDS	588	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
HANCKOBL_00019	CDS	2412	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
HANCKOBL_00020	CDS	885	fdnH_1		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
HANCKOBL_00021	CDS	654	fdnI		COG2864	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit
HANCKOBL_00022	CDS	285	yddM		COG3093	putative HTH-type transcriptional regulator YddM
HANCKOBL_00023	CDS	279	higB	3.1.-.-		Endoribonuclease HigB
HANCKOBL_00024	CDS	171				hypothetical protein
HANCKOBL_00025	CDS	1011	adhP	1.1.1.1	COG1064	Alcohol dehydrogenase, propanol-preferring
HANCKOBL_00026	CDS	1698	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
HANCKOBL_00027	CDS	138	sra			Stationary-phase-induced ribosome-associated protein
HANCKOBL_00028	CDS	216	bdm			Protein bdm
HANCKOBL_00029	CDS	432	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
HANCKOBL_00030	CDS	2400	dosP	3.1.4.52	COG2199	Oxygen sensor protein DosP
HANCKOBL_00031	CDS	1320				hypothetical protein
HANCKOBL_00032	CDS	1536	gadC		COG0531	putative glutamate/gamma-aminobutyrate antiporter
HANCKOBL_00033	CDS	1401	gadB	4.1.1.15	COG0076	Glutamate decarboxylase beta
HANCKOBL_00034	CDS	810				hypothetical protein
HANCKOBL_00035	CDS	1158	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
HANCKOBL_00036	CDS	1683				hypothetical protein
HANCKOBL_00037	CDS	762	ydeO		COG2207	HTH-type transcriptional regulator YdeO
HANCKOBL_00038	CDS	198	safA			Two-component-system connector protein SafA
HANCKOBL_00039	CDS	2280	ydeP		COG0243	Protein YdeP
HANCKOBL_00040	CDS	915	fimH_1			Type 1 fimbrin D-mannose specific adhesin
HANCKOBL_00041	CDS	504	fimG_1			Protein FimG
HANCKOBL_00042	CDS	531	fimF_1			Protein FimF
HANCKOBL_00043	CDS	2652	fimD_1		COG3188	Outer membrane usher protein FimD
HANCKOBL_00044	CDS	711	focC			Chaperone protein FocC
HANCKOBL_00045	CDS	564	fimA_1			Type-1 fimbrial protein, A chain
HANCKOBL_00046	CDS	201				hypothetical protein
HANCKOBL_00047	CDS	1323	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
HANCKOBL_00048	CDS	267	hipB		COG1396	Antitoxin HipB
HANCKOBL_00049	CDS	759	tam	2.1.1.144	COG4106	Trans-aconitate 2-methyltransferase
HANCKOBL_00050	CDS	915				hypothetical protein
HANCKOBL_00051	CDS	1452	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
HANCKOBL_00052	CDS	1419				hypothetical protein
HANCKOBL_00053	CDS	360				hypothetical protein
HANCKOBL_00054	CDS	927	glsA2	3.5.1.2	COG2066	Glutaminase 2
HANCKOBL_00055	CDS	1389	sad	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
HANCKOBL_00056	CDS	882	gltR		COG0583	HTH-type transcriptional regulator GltR
HANCKOBL_00057	CDS	1191	sotB		COG2814	Sugar efflux transporter
HANCKOBL_00058	CDS	666				hypothetical protein
HANCKOBL_00059	CDS	435	marR		COG1846	Multiple antibiotic resistance protein MarR
HANCKOBL_00060	CDS	384	marA			Multiple antibiotic resistance protein MarA
HANCKOBL_00061	CDS	219				hypothetical protein
HANCKOBL_00062	CDS	900	eamA		COG0697	putative amino-acid metabolite efflux pump
HANCKOBL_00063	CDS	1188	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
HANCKOBL_00064	CDS	96	mgtS			Small protein MgtS
HANCKOBL_00065	CDS	891	dgcZ	2.7.7.65	COG2199	Diguanylate cyclase DgcZ
HANCKOBL_00066	CDS	2046	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
HANCKOBL_00067	CDS	747	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
HANCKOBL_00068	CDS	687	rspR		COG1802	HTH-type transcriptional repressor RspR
HANCKOBL_00069	CDS	204	ydfZ			Putative selenoprotein YdfZ
HANCKOBL_00070	CDS	1461	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
HANCKOBL_00071	CDS	1335	abaF_1			Fosfomycin resistance protein AbaF
HANCKOBL_00072	CDS	1215	rspA		COG4948	Starvation-sensing protein RspA
HANCKOBL_00073	CDS	327				hypothetical protein
HANCKOBL_00074	CDS	342				hypothetical protein
HANCKOBL_00075	CDS	561	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
HANCKOBL_00076	CDS	747				hypothetical protein
HANCKOBL_00077	CDS	306	ynfD			putative protein YnfD
HANCKOBL_00078	CDS	615	dmsD		COG3381	Tat proofreading chaperone DmsD
HANCKOBL_00079	CDS	1257	clcB		COG0038	Voltage-gated ClC-type chloride channel ClcB
HANCKOBL_00080	CDS	696	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
HANCKOBL_00081	CDS	1221	mlc_1		COG1940	Protein mlc
HANCKOBL_00082	CDS	894	hcaR_1			Hca operon transcriptional activator HcaR
HANCKOBL_00083	CDS	1254	ynfM			Inner membrane transport protein YnfM
HANCKOBL_00084	CDS	309	asr			Acid shock protein
HANCKOBL_00085	CDS	822				hypothetical protein
HANCKOBL_00086	CDS	330	mdtI		COG2076	Spermidine export protein MdtI
HANCKOBL_00087	CDS	366	mdtJ		COG2076	Spermidine export protein MdtJ
HANCKOBL_00088	CDS	1035	tqsA		COG0628	AI-2 transport protein TqsA
HANCKOBL_00089	CDS	1389	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
HANCKOBL_00090	CDS	1533	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
HANCKOBL_00091	CDS	945	ydgH			Protein YdgH
HANCKOBL_00092	CDS	1383	ydgI		COG0531	Putative arginine/ornithine antiporter
HANCKOBL_00093	CDS	723	folM	1.5.1.50	COG1028	Dihydromonapterin reductase
HANCKOBL_00094	CDS	336	ydgC		COG3136	Inner membrane protein YdgC
HANCKOBL_00095	CDS	720	rstA		COG0745	Transcriptional regulatory protein RstA
HANCKOBL_00096	CDS	1302	rstB	2.7.13.3		Sensor protein RstB
HANCKOBL_00097	CDS	930	tus			DNA replication terminus site-binding protein
HANCKOBL_00098	CDS	1404	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
HANCKOBL_00099	CDS	1647	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
HANCKOBL_00100	CDS	1176	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
HANCKOBL_00101	CDS	1509	ydgA_1		COG5339	Protein YdgA
HANCKOBL_00102	CDS	1266	uidC			Membrane-associated protein UidC
HANCKOBL_00103	CDS	1374	uidB		COG2211	Glucuronide carrier protein
HANCKOBL_00104	CDS	1812	uidA	3.2.1.31	COG3250	Beta-glucuronidase
HANCKOBL_00105	CDS	579				hypothetical protein
HANCKOBL_00106	CDS	768	hdhA	1.1.1.159		7-alpha-hydroxysteroid dehydrogenase
HANCKOBL_00107	CDS	1029	malI		COG1609	Maltose regulon regulatory protein MalI
HANCKOBL_00108	CDS	1593	malX_1		COG1263	PTS system maltose-specific EIICB component
HANCKOBL_00109	CDS	1173	malY_1		COG1168	Protein MalY
HANCKOBL_00110	CDS	1002	add	3.5.4.4	COG1816	Adenosine deaminase
